id,iqn,os
10.229.14.201,,linux
10.229.14.202,,linux
10.229.14.203,,linux
10.229.14.204,,linux
10.229.14.206,,linux
10.229.14.207,,linux
10.229.14.208,,linux
10.229.14.209,,linux
10.229.14.210,,linux
10.229.14.211,,linux
10.229.14.212,,linux
10.229.14.213,,linux
10.229.14.214,,linux
10.229.14.215,,linux
10.229.14.216,,linux
10.229.14.217,,windows
10.229.14.218,,windows
10.229.14.219,,windows
10.229.14.220,,windows
10.229.14.221,,windows
10.229.14.222,,esx
10.229.14.223,,esx
10.229.14.224,,esx
10.229.14.225,,esx
10.229.14.226,,esx
